attribute,entropy
c1_02,0.0
c1_12,0.0
c4_31_2,0.0
c4_34,0.0
c5_01,0.0
c5_02_3,0.0
c5_02_7,0.0
c5_02_8,0.0
c5_02_11a,0.0
c5_02_12,0.0
c5_02_13,0.0
c5_02_14,0.0
c5_18,0.0
c4_47_10,0.00034692277294994455
c5_02_10,0.0005572553059305832
c4_09,0.0007675878389112213
c1_14,0.000767587838911222
c4_47_9,0.0009041780788805276
c1_04,0.0010866853303121763
c4_07a,0.0011145106118611663
c1_01,0.0014057828217131304
c4_42,0.0014480982862750834
c5_02_1,0.0015170839479090902
c4_11,0.001551342069442664
c1_13,0.0016717659177917495
c4_03,0.0021157947592332403
c1_05,0.0022107514355706385
c4_47_2,0.002240680113651102
c5_02_2,0.002387784472313679
c4_24,0.0026775115712326003
c4_38,0.00268917046116137
c4_29,0.002746071009883844
c4_32,0.0031403374676965317
c4_30,0.0032466424199561524
c1_22a,0.004118044186919997
c4_39,0.004377371368222073
c4_47_8a,0.004624146995192883
c4_23,0.0046450112049450905
c1_11,0.004774815710769893
c4_15,0.004948817426971
c4_43,0.005637031219248388
c4_31_1,0.006627562431482754
c4_28,0.006965486224232021
c5_02_6,0.007436381721926526
c5_19,0.0075092063540305705
c4_46,0.007511446844411697
c4_35,0.008299202961541076
c1_07,0.009123857835915286
c4_47_4,0.00962185669850903
c4_22,0.0096369911784628
c4_47_6,0.010682053262284429
c5_02_9,0.010711064808327033
c4_20,0.011199950126530776
c4_14,0.011473666110851733
c4_44,0.012079973009039981
c4_26,0.013898469631991126
c4_47_7,0.014898871866716271
c4_16,0.01662001986906793
c4_36,0.01691746798666067
c5_02_5,0.017241505469401272
c4_05,0.017315011496682693
c4_25,0.018801191616435037
c4_18,0.019498782766089816
c5_17,0.02061255198374912
c4_41,0.02094662145702939
c4_04,0.021181291134801508
c1_03,0.022801239428799143
c1_09,0.023873055174992348
c4_47_5,0.024373082403439775
c4_48,0.024545385233360535
c4_27,0.02521938456443426
c1_06a,0.0255775237240565
c4_40,0.026368346848070885
c4_12,0.028498508425442732
c4_47_3,0.03361373960920698
c4_01,0.0363713207003685
c4_47_1,0.03843876770629224
c4_47_11,0.041380910803517475
c1_08a,0.04263589034858715
g1_10,0.05941439353458568
c4_06,0.06040877948205978
c5_02_4,0.08995040452275856
