attribute,entropy
c1_05,0.0
c1_14,0.0
c5_01,0.0
c5_02_2,0.0
c5_02_3,0.0
c5_02_4,0.0
c5_02_5,0.0
c5_02_6,0.0
c5_02_7,0.0
c5_18,0.0
c1_15,0.0
c1_17,0.0
c1_19_1,0.0
c1_19_2,0.0
c1_19_3,0.0
c1_19_4a,0.0
c1_19_5,0.0
c1_19_6,0.0
c1_26,0.0
c2_01_4,0.0
c2_01_6,0.0
c2_01_12,0.0
c2_01_14,0.0
c3_01,0.0
c3_03_1,0.0
c3_03_2,0.0
c3_03_3,0.0
c3_03_4a,0.0
c3_03_5,0.0
c3_03_6,0.0
c3_07,0.0
c3_37,0.0
c3_38,0.0
c3_39,0.0
c3_45a,0.0
c2_01_2,0.0008547738727044513
c3_42,0.0011151000291988696
c1_04,0.0011373206066341986
c2_01_1,0.0011373206066341986
c3_04,0.0014284581490359928
c2_13a,0.0014629390205370373
c5_02_8,0.0017232651770314553
c2_01_10,0.0019390625159959448
c2_01_11,0.0019506396752697944
c3_15,0.001972249485463431
c2_03,0.001983591333525873
c3_47,0.0020156435850331783
c1_13,0.0020711041683696223
c5_19,0.0021771680950550334
c3_44,0.0022746412132683973
c1_01,0.0025250070863932013
c3_40,0.00256726643167139
c3_13,0.002578039049735907
c1_11,0.0027237653721542882
c3_16,0.0031526247697929053
c3_35,0.003186204197568492
c1_12,0.003397437390154437
c1_02,0.003482093778231461
c3_11,0.003566364349000991
c5_02_9,0.0038165899228364054
c1_16,0.004398777344980724
c3_05,0.005063449368968085
c3_17,0.005068565264628064
c2_04,0.005239863438333822
c2_07,0.005378134100019876
c3_48,0.0057112112839616935
c3_25,0.005780263133950156
c3_46,0.005951594727765999
c2_01_5,0.005952040040265774
c2_08a,0.005991197974483738
c2_01_7,0.006467054900895945
c3_49,0.006801438885098597
c3_34,0.0068108582142445955
c3_29,0.006926328197977557
c2_09,0.008378739677861699
c3_36,0.008449819794231126
c3_09,0.009460489335060884
c2_01_8,0.009676576107106438
c1_06a,0.009907408297158166
c3_33,0.010018774172312627
c1_18,0.010164301609807436
c3_23,0.01037438386099592
c3_26,0.010461973786617668
c2_01_9,0.010467466602164025
c3_10,0.010588219401389395
c5_17,0.010616751882291947
c2_11,0.011594122904707023
c3_06,0.011963285137286053
c1_08a,0.012503514158384283
c3_41,0.013986907421560025
c3_12,0.015156141008789776
c2_01_3,0.016133644663763387
c2_15a,0.019738884089966297
c3_24,0.02175405957769038
c3_32,0.02521092821477055
c2_18,0.025618742573553708
c3_20,0.02564083552079506
c2_12,0.02584092360327756
c1_03,0.026090776822065873
c2_06,0.026713499581420837
c3_02,0.030870827763567622
c2_17,0.032973584334385124
c3_08,0.03822533883427209
c1_07,0.04887144078921051
c1_22a,0.31476819171666515
